Fragaria vesca, 101298162, polyketide synthase 1, KO:K00660, EC:2.3.1.74, Fragaria vesca, 101298456, polyketide synthase 1, 
KO:K00660, EC:2.3.1.74, Fragaria vesca, 101292744, chalcone--flavonone isomerase 1, KO:K01859, EC:5.5.1.6, 
Fragaria vesca, 101305307, probable chalcone--flavonone isomerase 3, KO:K01859, EC:5.5.1.6, Fragaria vesca, 101300182, 
naringenin,2-oxoglutarate 3-dioxygenase, KO:K00475, EC:1.14.11.9, Fragaria vesca, 101296827, flavonol synthase/flavanone 3-hydroxylase-like, KO:K05278, 
EC:1.14.20.6, Fragaria vesca, 101295969, flavonol synthase/flavanone 3-hydroxylase, KO:K05278, EC:1.14.20.6, Fragaria vesca, 
101294342, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Fragaria vesca, 101306528, cytochrome P450 CYP73A100-like, 
KO:K00487, EC:1.14.14.91, Fragaria vesca, 101308284, leucoanthocyanidin dioxygenase, KO:K05277, EC:1.14.20.4, 
Fragaria vesca, 101297977, anthocyanidin reductase, KO:K08695, EC:1.3.1.77, Fragaria vesca, 101306809, 
leucoanthocyanidin reductase-like, KO:K13081, EC:1.17.1.3, Fragaria vesca, 101298317, anthocyanidin 5,3-O-glucosyltransferase-like, KO:K22845, 
EC:2.4.1.357, Fragaria vesca, 101305333, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, 
101303591, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, 101303883, shikimate O-hydroxycinnamoyltransferase-like, 
KO:K13065, EC:2.3.1.133, Fragaria vesca, 101291126, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Fragaria vesca, 101306124, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, 101309938, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, 105352991, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Fragaria vesca, 101291593, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, 
101291888, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, 101292180, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Fragaria vesca, 101290723, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Fragaria vesca, 101292475, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, 101293257, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, 101292765, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Fragaria vesca, 101315202, deacetylvindoline O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, 
101311694, omega-hydroxypalmitate O-feruloyl transferase, KO:K13065, EC:2.3.1.133, Fragaria vesca, 101295724, spermidine hydroxycinnamoyl transferase, 
KO:K13065, EC:2.3.1.133, Fragaria vesca, 101311200, BAHD acyltransferase At5g47980-like, KO:K13065, EC:2.3.1.133, 
Fragaria vesca, 101305857, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, 101298438, 
shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Fragaria vesca, 101299970, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Fragaria vesca, 101310387, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Fragaria vesca, 
101296965, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Fragaria vesca, 101295967, caffeoyl-CoA O-methyltransferase, 
KO:K00588, EC:2.1.1.104, Fragaria vesca, 101297250, flavonoid 3',5'-methyltransferase-like, KO:K00588, EC:2.1.1.104, 
Fragaria vesca, 101302900, flavonoid 3',5'-methyltransferase-like, KO:K00588, EC:2.1.1.104, Fragaria vesca, 101308793, 
probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Fragaria vesca, 101307171, flavonoid 3',5'-methyltransferase-like, KO:K00588, 
EC:2.1.1.104, Fragaria vesca, 101311417, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Fragaria vesca, 
101297735, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Fragaria vesca, 101309080, probable caffeoyl-CoA O-methyltransferase At4g26220, 
KO:K00588, EC:2.1.1.104, Fragaria vesca, 101309377, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, 
Fragaria vesca, 101311294, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Fragaria vesca, 101312002, 
probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Fragaria vesca, 105351761, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, 
EC:2.1.1.104, Fragaria vesca, 101293948, deacetylvindoline O-acetyltransferase, 
