Camelina Sativa (False Flax), chalcone synthase-like, KO:K00660, EC:2.3.1.74, Camelina Sativa (False Flax), chalcone synthase, KO:K00660, EC:2.3.1.74, 
Camelina Sativa (False Flax), chalcone synthase-like, KO:K00660, EC:2.3.1.74, Camelina Sativa (False Flax), probable chalcone--flavonone isomerase 3, KO:K01859, 
EC:5.5.1.6, Camelina Sativa (False Flax), chalcone--flavonone isomerase-like, KO:K01859, EC:5.5.1.6, Camelina Sativa (False Flax), probable chalcone--flavonone isomerase 3, 
KO:K01859, EC:5.5.1.6, Camelina Sativa (False Flax), chalcone--flavonone isomerase-like, KO:K01859, EC:5.5.1.6, Camelina Sativa (False Flax), 
probable chalcone--flavonone isomerase 3, KO:K01859, EC:5.5.1.6, Camelina Sativa (False Flax), chalcone--flavonone isomerase 1-like, KO:K01859, EC:5.5.1.6, 
Camelina Sativa (False Flax), chalcone--flavonone isomerase 1-like, KO:K01859, EC:5.5.1.6, Camelina Sativa (False Flax), chalcone--flavonone isomerase 1, KO:K01859, 
EC:5.5.1.6, Camelina Sativa (False Flax), chalcone--flavonone isomerase 1-like, KO:K01859, EC:5.5.1.6, Camelina Sativa (False Flax), chalcone--flavonone isomerase 1 isoform X1, 
KO:K01859, EC:5.5.1.6, Camelina Sativa (False Flax), chalcone--flavonone isomerase-like, KO:K01859, EC:5.5.1.6, Camelina Sativa (False Flax), 
chalcone--flavonone isomerase 2-like, KO:K01859, EC:5.5.1.6, Camelina Sativa (False Flax), chalcone--flavonone isomerase 1-like, KO:K01859, EC:5.5.1.6, 
Camelina Sativa (False Flax), chalcone--flavonone isomerase-like, KO:K01859, EC:5.5.1.6, Camelina Sativa (False Flax), chalcone--flavonone isomerase 1-like, KO:K01859, 
EC:5.5.1.6, Camelina Sativa (False Flax), chalcone--flavonone isomerase 1-like, KO:K01859, EC:5.5.1.6, Camelina Sativa (False Flax), naringenin,2-oxoglutarate 3-dioxygenase isoform X1, 
KO:K00475, EC:1.14.11.9, Camelina Sativa (False Flax), naringenin,2-oxoglutarate 3-dioxygenase-like, KO:K00475, EC:1.14.11.9, Camelina Sativa (False Flax), 
naringenin,2-oxoglutarate 3-dioxygenase-like isoform X2, KO:K00475, EC:1.14.11.9, Camelina Sativa (False Flax), probable flavonol synthase 5, KO:K05278, EC:1.14.20.6, 
Camelina Sativa (False Flax), putative inactive flavonol synthase 2, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), probable flavonol synthase 5, KO:K05278, 
EC:1.14.20.6, Camelina Sativa (False Flax), flavonol synthase 3-like, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), probable flavonol synthase 5 isoform X1, 
KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), flavonol synthase 3-like, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), 
probable flavonol synthase 5, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), putative inactive flavonol synthase 2, KO:K05278, EC:1.14.20.6, 
Camelina Sativa (False Flax), flavonol synthase/flavanone 3-hydroxylase-like, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), flavonol synthase/flavanone 3-hydroxylase-like, KO:K05278, 
EC:1.14.20.6, Camelina Sativa (False Flax), LOW QUALITY PROTEIN: probable flavonol synthase 6, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), putative inactive flavonol synthase 2, 
KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), probable flavonol synthase 5, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), 
flavonol synthase 3-like, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), probable flavonol synthase 5, KO:K05278, EC:1.14.20.6, 
Camelina Sativa (False Flax), probable flavonol synthase 5, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), probable flavonol synthase 5, KO:K05278, 
EC:1.14.20.6, Camelina Sativa (False Flax), probable flavonol synthase 5, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), putative inactive flavonol synthase 2, 
KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), probable flavonol synthase 5 isoform X2, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), 
flavonol synthase 3, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), probable flavonol synthase 5, KO:K05278, EC:1.14.20.6, 
Camelina Sativa (False Flax), probable flavonol synthase 5, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), probable flavonol synthase 5, KO:K05278, 
EC:1.14.20.6, Camelina Sativa (False Flax), flavonol synthase 3-like, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), probable flavonol synthase 5, 
KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), flavonol synthase 3-like, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), 
probable flavonol synthase 5 isoform X1, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), probable flavonol synthase 5 isoform X1, KO:K05278, EC:1.14.20.6, 
Camelina Sativa (False Flax), probable flavonol synthase 5, KO:K05278, EC:1.14.20.6, Camelina Sativa (False Flax), flavonol synthase/flavanone 3-hydroxylase, KO:K05278, 
EC:1.14.20.6, Camelina Sativa (False Flax), trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Camelina Sativa (False Flax), trans-cinnamate 4-monooxygenase-like, 
KO:K00487, EC:1.14.14.91, Camelina Sativa (False Flax), trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Camelina Sativa (False Flax), 
flavonoid 3'-monooxygenase-like, KO:K05280, EC:1.14.14.82, Camelina Sativa (False Flax), flavonoid 3'-monooxygenase, KO:K05280, EC:1.14.14.82, 
Camelina Sativa (False Flax), flavonoid 3'-monooxygenase, KO:K05280, EC:1.14.14.82, Camelina Sativa (False Flax), dihydroflavonol 4-reductase-like, KO:K13082, 
EC:1.1.1.219 1.1.1.234, Camelina Sativa (False Flax), dihydroflavonol 4-reductase-like, KO:K13082, EC:1.1.1.219 1.1.1.234, Camelina Sativa (False Flax), dihydroflavonol 4-reductase, 
KO:K13082, EC:1.1.1.219 1.1.1.234, Camelina Sativa (False Flax), leucoanthocyanidin dioxygenase, KO:K05277, EC:1.14.20.4, Camelina Sativa (False Flax), 
leucoanthocyanidin dioxygenase-like, KO:K05277, EC:1.14.20.4, Camelina Sativa (False Flax), leucoanthocyanidin dioxygenase-like isoform X2, KO:K05277, EC:1.14.20.4, 
Camelina Sativa (False Flax), anthocyanidin reductase-like, KO:K08695, EC:1.3.1.77, Camelina Sativa (False Flax), anthocyanidin reductase-like, KO:K08695, 
EC:1.3.1.77, Camelina Sativa (False Flax), anthocyanidin reductase isoform X1, KO:K08695, EC:1.3.1.77, Camelina Sativa (False Flax), shikimate O-hydroxycinnamoyltransferase-like, 
KO:K13065, EC:2.3.1.133, Camelina Sativa (False Flax), shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Camelina Sativa (False Flax), 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Camelina Sativa (False Flax), shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Camelina Sativa (False Flax), spermidine hydroxycinnamoyl transferase, KO:K13065, EC:2.3.1.133, Camelina Sativa (False Flax), shikimate O-hydroxycinnamoyltransferase isoform X1, KO:K13065, 
EC:2.3.1.133, Camelina Sativa (False Flax), shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Camelina Sativa (False Flax), spermidine hydroxycinnamoyl transferase-like, 
KO:K13065, EC:2.3.1.133, Camelina Sativa (False Flax), shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Camelina Sativa (False Flax), 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Camelina Sativa (False Flax), shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Camelina Sativa (False Flax), spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Camelina Sativa (False Flax), shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, 
EC:2.3.1.133, Camelina Sativa (False Flax), shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Camelina Sativa (False Flax), cytochrome P450 98A3-like, 
KO:K09754, EC:1.14.14.96, Camelina Sativa (False Flax), cytochrome P450 98A3-like isoform X1, KO:K09754, EC:1.14.14.96, Camelina Sativa (False Flax), 
cytochrome P450 98A3, KO:K09754, EC:1.14.14.96, Camelina Sativa (False Flax), putative caffeoyl-CoA O-methyltransferase At1g67980, KO:K00588, EC:2.1.1.104, 
Camelina Sativa (False Flax), caffeoyl-CoA O-methyltransferase 1-like, KO:K00588, EC:2.1.1.104, Camelina Sativa (False Flax), putative caffeoyl-CoA O-methyltransferase At1g67980, KO:K00588, 
EC:2.1.1.104, Camelina Sativa (False Flax), probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Camelina Sativa (False Flax), caffeoyl-CoA O-methyltransferase 1, 
KO:K00588, EC:2.1.1.104, Camelina Sativa (False Flax), probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Camelina Sativa (False Flax), 
putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1, KO:K00588, EC:2.1.1.104, Camelina Sativa (False Flax), putative caffeoyl-CoA O-methyltransferase At1g67980, KO:K00588, EC:2.1.1.104, 
Camelina Sativa (False Flax), tapetum-specific methyltransferase 1-like, KO:K00588, EC:2.1.1.104, Camelina Sativa (False Flax), probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, 
EC:2.1.1.104, Camelina Sativa (False Flax), caffeoyl-CoA O-methyltransferase 1, KO:K00588, EC:2.1.1.104, Camelina Sativa (False Flax), putative caffeoyl-CoA O-methyltransferase At1g67980, 
KO:K00588, EC:2.1.1.104, 
